Community,ChimpID,Sex,Age,Date,FocalFollowNum,Hr,Min,FocalPhResp,Activity,FoodPart,Parity,MaleDepOffspring,Oes4,Drum,InPartyPh,AlphaPresent,IndepIndivs,Closest15min,LumpedBlocks,Comments,Core75
waibira,TAL,m,41,20170214,150,9,31,1,NotFeed,NotFeed,NA,NA,NA,0,1,1,3,09:30,off grid,,No
waibira,TAL,m,41,20170214,150,9,36,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,10,09:30,off grid,,No
waibira,DOU,m,41,20170214,151,11,21,1,NotFeed,NotFeed,NA,NA,NA,0,1,0,2,11:15,25-29;f-i,,Yes
waibira,DOU,m,41,20170214,151,11,23,1,NotFeed,NotFeed,NA,NA,NA,0,1,0,2,11:30,25-29;b-e,,Yes
waibira,DOU,m,41,20170214,151,15,39,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,2,15:45,20-24;f-i,,Yes
waibira,DOU,m,41,20170214,151,16,20,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,2,16:15,20-24;b-e,,Yes
waibira,DOU,m,41,20170214,151,16,22,1,NotFeed,NotFeed,NA,NA,NA,0,1,0,2,16:15,20-24;b-e,,Yes
waibira,DOU,m,41,20170214,151,16,32,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,2,16:30,20-24;a-2,,Yes
waibira,DOU,m,41,20170214,151,16,46,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,4,16:45,20-24;a-2,,Yes
waibira,GER,m,24,20170215,152,12,8,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,2,12:15,off grid,,No
waibira,GER,m,24,20170215,152,12,12,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,2,12:15,off grid,,No
waibira,GER,m,24,20170215,152,12,19,0,NotFeed,NotFeed,NA,NA,NA,1,1,0,5,12:15,off grid,,No
waibira,KEV,m,36,20170215,153,7,17,0,Feed,RipeFruit,NA,NA,NA,0,0,1,4,07:15,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,7,20,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,07:15,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,7,23,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,4,07:30,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,7,25,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,2,07:30,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,7,27,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,07:30,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,7,34,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,07:30,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,7,41,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,8,07:45,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,7,56,1,NotFeed,NotFeed,NA,NA,NA,0,1,0,12,08:00,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,7,59,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,13,08:00,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,8,5,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,13,08:00,15-19;b-e,,Yes
waibira,KEV,m,36,20170215,153,8,12,0,Feed,NA,NA,NA,NA,0,0,0,14,08:15,15-19;b-e,,Yes
waibira,MAC,m,21,20170227,154,9,22,1,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,09:15,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,9,41,1,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,09:45,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,9,44,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,09:45,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,9,47,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,09:45,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,9,49,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,09:45,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,8,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,10:15,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,14,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,10:15,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,16,1,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,10:15,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,24,1,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,10:30,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,25,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,10:30,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,29,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,10:30,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,31,1,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,10:30,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,35,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,13,10:30,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,38,0,NotFeed,NotFeed,NA,NA,NA,1,1,1,13,10:45,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,51,1,NotFeed,NotFeed,NA,NA,NA,1,1,0,5,10:45,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,10,57,0,Feed,NA,NA,NA,NA,0,1,1,9,11:00,25-29;b-e,,Yes
waibira,MAC,m,21,20170227,154,11,11,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,11,11:15,30-34;f-i,,Yes
waibira,MAC,m,21,20170227,154,11,15,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,11,11:15,30-34;f-i,,Yes
waibira,MAC,m,21,20170227,154,11,17,0,Feed,NotRipeFruit,NA,NA,NA,0,1,1,12,11:15,30-34;f-i,,Yes
waibira,MAC,m,21,20170227,154,11,27,0,Feed,NotRipeFruit,NA,NA,NA,0,1,1,13,11:30,30-34;f-i,,Yes
waibira,MAC,m,21,20170227,154,11,54,0,Feed,NotRipeFruit,NA,NA,NA,0,1,1,17,12:00,30-34;f-i,,Yes
waibira,MAC,m,21,20170227,154,12,10,0,Feed,NotRipeFruit,NA,NA,NA,1,1,1,17,12:15,30-34;f-i,,Yes
waibira,MAC,m,21,20170227,154,12,14,0,Feed,NotRipeFruit,NA,NA,NA,0,1,1,18,12:15,30-34;f-i,,Yes
waibira,ATA,m,22,20170318,155,7,16,1,Feed,NotRipeFruit,NA,NA,NA,0,1,0,6,07:15,30-34;j-m,,Yes
waibira,ATA,m,22,20170318,155,7,18,1,Feed,NotRipeFruit,NA,NA,NA,0,1,0,6,07:15,30-34;j-m,,Yes
waibira,ATA,m,22,20170318,155,7,19,0,Feed,NotRipeFruit,NA,NA,NA,1,1,0,6,07:15,30-34;j-m,,Yes
waibira,ATA,m,22,20170318,155,7,24,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,7,07:30,30-34;j-m,closeset time 0715,Yes
waibira,DOU,m,41,20170317,156,8,20,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,2,08:15,30-34;j-m,closest time 0830,Yes
waibira,DOU,m,41,20170317,156,8,25,0,NA,NA,NA,NA,NA,0,0,0,2,08:30,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,8,30,1,Feed,RipeFruit,NA,NA,NA,1,0,0,2,08:30,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,8,30,1,Feed,RipeFruit,NA,NA,NA,1,1,0,2,08:30,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,8,33,0,Feed,RipeFruit,NA,NA,NA,0,0,0,3,08:30,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,8,35,1,Feed,RipeFruit,NA,NA,NA,1,1,0,3,08:30,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,8,43,0,Feed,RipeFruit,NA,NA,NA,0,0,0,3,08:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,8,45,0,Feed,RipeFruit,NA,NA,NA,0,0,0,3,08:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,8,49,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,08:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,8,57,0,Feed,NA,NA,NA,NA,0,0,0,3,09:00,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,9,9,0,NA,NA,NA,NA,NA,1,0,0,4,09:15,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,9,13,0,NA,NA,NA,NA,NA,0,1,0,4,09:15,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,9,37,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,5,09:30,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,9,44,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,5,09:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,9,46,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,5,09:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,10,6,0,NA,NA,NA,NA,NA,0,1,0,6,10:00,No Block Found,still no block,NA
waibira,DOU,m,41,20170317,156,10,32,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,6,10:30,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,10,38,1,NotFeed,NotFeed,NA,NA,NA,0,1,0,6,10:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,10,57,0,Feed,NotRipeFruit,NA,NA,NA,0,0,0,6,11:00,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,5,0,Feed,NotRipeFruit,NA,NA,NA,0,0,0,6,11:00,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,9,0,Feed,NotRipeFruit,NA,NA,NA,0,0,0,6,11:15,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,11,0,Feed,NotRipeFruit,NA,NA,NA,0,0,0,6,11:15,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,16,0,Feed,NotRipeFruit,NA,NA,NA,0,0,0,6,11:15,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,33,1,NotFeed,NotFeed,NA,NA,NA,0,1,1,4,11:30,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,38,1,NotFeed,NotFeed,NA,NA,NA,1,1,1,4,11:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,38,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,4,11:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,41,0,NotFeed,NotFeed,NA,NA,NA,1,1,1,4,11:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,46,0,NotFeed,NotFeed,NA,NA,NA,1,0,1,4,11:45,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,11,54,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,4,12:00,30-34;j-m,,Yes
waibira,DOU,m,41,20170317,156,12,11,1,NotFeed,NotFeed,NA,NA,NA,1,0,1,4,12:15,30-34;j-m,closest time 1210,Yes
waibira,DOU,m,41,20170317,156,12,14,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,4,12:15,30-34;j-m,closest time 1210,Yes
waibira,DOU,m,41,20170317,156,12,21,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,4,12:15,No Block Found,closest time 1210,NA
waibira,DOU,m,41,20170317,156,12,28,0,NotFeed,NotFeed,NA,NA,NA,1,1,1,4,12:30,No Block Found,still no block,NA
waibira,DOU,m,41,20170317,156,12,33,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,4,12:30,No Block Found,still no block,NA
waibira,DOU,m,41,20170317,156,12,49,0,NotFeed,NotFeed,NA,NA,NA,1,0,1,4,12:45,No Block Found,still no block,NA
waibira,DOU,m,41,20170317,156,13,9,0,NotFeed,NotFeed,NA,NA,NA,1,1,0,4,13:15,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,13,10,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,4,13:15,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,13,12,0,NotFeed,NotFeed,NA,NA,NA,1,0,0,4,13:15,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,13,16,0,NotFeed,NotFeed,NA,NA,NA,1,0,0,4,13:15,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,13,19,0,NotFeed,NotFeed,NA,NA,NA,1,1,0,4,13:15,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,13,25,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,4,13:30,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,13,30,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,4,13:30,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,13,35,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,4,13:30,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,13,50,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,7,13:45,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,14,3,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,8,14:00,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,14,5,1,NotFeed,NotFeed,NA,NA,NA,1,1,0,8,14:00,30-34;f-i,,Yes
waibira,DOU,m,41,20170317,156,14,8,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,3,14:15,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,14,13,1,NotFeed,NotFeed,NA,NA,NA,0,1,0,3,14:15,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,14,15,1,Feed,RipeFruit,NA,NA,NA,0,1,0,3,14:15,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,14,16,0,Feed,RipeFruit,NA,NA,NA,0,0,0,3,14:15,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,14,18,0,Feed,RipeFruit,NA,NA,NA,0,1,0,3,14:15,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,14,22,0,Feed,RipeFruit,NA,NA,NA,0,0,0,3,14:15,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,14,24,0,Feed,RipeFruit,NA,NA,NA,0,1,0,3,14:30,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,14,28,0,Feed,RipeFruit,NA,NA,NA,0,1,0,3,14:30,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,14,32,0,Feed,RipeFruit,NA,NA,NA,0,1,0,3,14:30,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,14,39,0,Feed,RipeFruit,NA,NA,NA,0,1,0,5,14:45,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,15,9,1,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,15:15,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,15,9,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,15:15,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,15,27,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,15:30,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,15,33,1,NotFeed,NotFeed,NA,NA,NA,0,1,0,3,15:30,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,15,35,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,15:30,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,15,38,1,NotFeed,NotFeed,NA,NA,NA,0,1,0,5,15:45,25-29;j-m,,Yes
waibira,DOU,m,41,20170317,156,16,25,0,Feed,NotRipeFruit,NA,NA,NA,0,0,1,8,16:30,25-29;j-m,,Yes
waibira,KEV,m,36,20170315,157,9,23,0,Feed,NA,NA,NA,NA,0,1,1,5,09:30,35-39;j-m,,Yes
waibira,KEV,m,36,20170315,157,9,25,0,Feed,NA,NA,NA,NA,1,1,1,5,09:30,35-39;j-m,,Yes
waibira,KEV,m,36,20170315,157,9,32,0,Feed,NA,NA,NA,NA,1,0,1,2,09:30,35-39;j-m,,Yes
waibira,KEV,m,36,20170315,157,9,48,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,2,09:45,35-39;j-m,,Yes
waibira,KEV,m,36,20170315,157,9,51,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,2,09:45,35-39;j-m,,Yes
waibira,KEV,m,36,20170315,157,9,55,1,NotFeed,NotFeed,NA,NA,NA,0,1,1,2,10:00,35-39;j-m,,Yes
waibira,KEV,m,36,20170315,157,10,1,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,2,10:00,35-39;j-m,,Yes
waibira,KEV,m,36,20170315,157,10,8,0,NA,NA,NA,NA,NA,0,0,1,7,10:15,No Block Found,nofadata,NA
waibira,KEV,m,36,20170315,157,10,19,0,Feed,NA,NA,NA,NA,0,0,1,9,10:15,No Block Found,nofadata,NA
waibira,KEV,m,36,20170315,157,10,23,0,Feed,NA,NA,NA,NA,0,0,1,9,10:30,No Block Found,nofadata,NA
waibira,KEV,m,36,20170315,157,10,27,0,Feed,NA,NA,NA,NA,0,0,1,9,10:30,No Block Found,nofadata,NA
waibira,KEV,m,36,20170315,157,10,29,0,Feed,NA,NA,NA,NA,1,0,1,9,10:30,No Block Found,nofadata,NA
waibira,KEV,m,36,20170315,157,10,33,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,9,10:30,No Block Found,nofadata,NA
waibira,KEV,m,36,20170315,157,10,35,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,9,10:30,No Block Found,nofadata,NA
waibira,KEV,m,36,20170315,157,10,42,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,9,10:45,No Block Found,nofadata,NA
waibira,KEV,m,36,20170315,157,10,45,0,NotFeed,NotFeed,NA,NA,NA,1,1,1,9,10:45,No Block Found,nofadata,NA
waibira,KEV,m,36,20170315,157,10,48,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,9,10:45,No Block Found,nofadata,NA
waibira,LAF,m,14,20170312,158,7,47,1,Feed,RipeFruit,NA,NA,NA,0,1,0,4,07:45,30-34;j-m,,Yes
waibira,LAF,m,14,20170312,158,7,50,0,Feed,RipeFruit,NA,NA,NA,1,0,0,5,07:45,30-34;j-m,,Yes
waibira,LAF,m,14,20170312,158,7,53,0,Feed,RipeFruit,NA,NA,NA,1,1,0,5,08:00,30-34;j-m,,Yes
waibira,LAF,m,14,20170312,158,7,59,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,1,08:00,30-34;j-m,,Yes
waibira,LAF,m,14,20170312,158,8,5,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,2,08:00,30-34;j-m,,Yes
waibira,LAF,m,14,20170312,158,8,8,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,2,08:15,30-34;j-m,,Yes
waibira,LAF,m,14,20170312,158,8,12,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,08:15,30-34;j-m,,Yes
waibira,LAF,m,14,20170312,158,8,15,1,NotFeed,NotFeed,NA,NA,NA,0,1,0,5,08:15,30-34;j-m,,Yes
waibira,LAF,m,14,20170312,158,8,16,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,5,08:15,30-34;j-m,,Yes
waibira,LAF,m,14,20170312,158,9,33,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,11,09:30,No Block Found,still no block,NA
waibira,LAF,m,14,20170312,158,9,35,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,11,09:30,No Block Found,still no block,NA
waibira,LAF,m,14,20170312,158,9,38,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,13,09:45,No Block Found,still no block,NA
waibira,LAF,m,14,20170312,158,9,44,0,NotFeed,NotFeed,NA,NA,NA,1,1,0,3,09:45,No Block Found,still no block,NA
waibira,LAF,m,14,20170312,158,9,48,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,3,09:45,No Block Found,still no block,NA
waibira,LAF,m,14,20170312,158,9,51,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,2,09:45,No Block Found,still no block,NA
waibira,LAF,m,14,20170312,158,9,56,1,NotFeed,NotFeed,NA,NA,NA,1,1,1,4,10:00,No Block Found,still no block,NA
waibira,LAF,m,14,20170312,158,10,0,0,NotFeed,NotFeed,NA,NA,NA,1,1,1,4,10:00,No Block Found,still no block,NA
waibira,LAF,m,14,20170312,158,10,6,0,NotFeed,NotFeed,NA,NA,NA,1,1,1,4,10:00,No Block Found,still no block,NA
waibira,LAF,m,14,20170312,158,10,11,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,4,10:15,No Block Found,still no block,NA
waibira,SAM,m,18,20170318,159,9,22,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,5,09:15,35-39;j-m,,Yes
waibira,SAM,m,18,20170318,159,9,34,1,NotFeed,NotFeed,NA,NA,NA,0,0,0,5,09:30,35-39;j-m,,Yes
waibira,SAM,m,18,20170318,159,9,36,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,4,09:30,35-39;j-m,,Yes
waibira,SAM,m,18,20170318,159,10,7,0,NA,NA,NA,NA,NA,0,0,0,3,10:00,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,9,33,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,4,09:30,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,9,39,1,NotFeed,NotFeed,NA,NA,NA,0,0,0,4,09:45,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,9,42,0,NotFeed,NotFeed,NA,NA,NA,1,0,0,4,09:45,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,9,45,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,4,09:45,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,9,47,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,09:45,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,9,51,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,09:45,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,9,54,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,10:00,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,9,59,0,NotFeed,NotFeed,NA,NA,NA,0,1,0,3,10:00,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,1,1,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,10:00,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,2,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,3,10:00,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,7,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,2,10:00,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,9,0,NotFeed,NotFeed,NA,NA,NA,0,0,0,2,10:15,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,13,0,NotFeed,NotFeed,NA,NA,NA,1,1,1,7,10:15,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,15,0,NotFeed,NotFeed,NA,NA,NA,1,1,1,7,10:15,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,18,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,7,10:15,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,28,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,7,10:30,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,43,1,NotFeed,NotFeed,NA,NA,NA,0,0,1,7,10:45,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,44,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,7,10:45,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,46,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,7,10:45,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,10,48,0,NotFeed,NotFeed,NA,NA,NA,0,0,1,7,10:45,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,11,1,0,NotFeed,NotFeed,NA,NA,NA,1,0,0,5,11:00,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,11,6,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,4,11:00,35-39;j-m,,Yes
waibira,ATA,m,22,20170322,160,11,10,0,NotFeed,NotFeed,NA,NA,NA,0,1,1,4,11:15,35-39;j-m,closaest time 11.00,Yes
waibira,BEN,m,25,20170323,161,7,51,1,NotFeed,NotFeed,NA,NA,NA,0,1,NA,8,07:45,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,7,53,0,Feed,RipeFruit,NA,NA,NA,0,1,NA,8,08:00,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,2,0,NotFeed,NotFeed,NA,NA,NA,0,1,NA,8,08:00,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,10,0,NotFeed,NotFeed,NA,NA,NA,1,1,NA,8,08:15,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,12,0,NotFeed,NotFeed,NA,NA,NA,0,1,NA,8,08:15,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,15,0,NotFeed,NotFeed,NA,NA,NA,0,0,NA,8,08:15,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,17,0,NotFeed,NotFeed,NA,NA,NA,0,0,NA,8,08:15,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,21,0,NotFeed,NotFeed,NA,NA,NA,0,0,NA,8,08:15,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,25,1,NotFeed,NotFeed,NA,NA,NA,1,0,NA,8,08:30,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,31,0,NotFeed,NotFeed,NA,NA,NA,1,0,NA,8,08:30,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,33,0,NotFeed,NotFeed,NA,NA,NA,1,1,NA,8,08:30,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,35,0,NotFeed,NotFeed,NA,NA,NA,0,1,NA,8,08:30,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,37,1,NotFeed,NotFeed,NA,NA,NA,0,1,NA,8,08:30,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,39,1,NotFeed,NotFeed,NA,NA,NA,0,0,NA,8,08:45,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,41,0,NotFeed,NotFeed,NA,NA,NA,0,1,NA,8,08:45,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,44,1,NotFeed,NotFeed,NA,NA,NA,1,1,NA,8,08:45,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,46,0,NotFeed,NotFeed,NA,NA,NA,0,0,NA,8,08:45,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,48,0,NotFeed,NotFeed,NA,NA,NA,0,0,NA,8,08:45,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,50,0,NotFeed,NotFeed,NA,NA,NA,1,0,NA,8,08:45,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,52,0,NotFeed,NotFeed,NA,NA,NA,0,0,NA,8,08:45,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,8,55,0,NotFeed,NotFeed,NA,NA,NA,1,1,NA,8,09:00,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,9,0,0,NotFeed,NotFeed,NA,NA,NA,0,0,NA,8,09:00,35-39;j-m,,Yes
waibira,BEN,m,25,20170323,161,9,3,0,NotFeed,NotFeed,NA,NA,NA,1,0,NA,8,09:00,35-39;j-m,,Yes
